"Sample","Glikoliz","TCA_Dongusu","Lipid_Sentezi","Nukleotit","Cancer"
"TCGA-F2-7273-01A",3.88096571253551,3.77894247804265,3.7470591691931,3.46612289014046,"PAAD"
"TCGA-FB-AAPY-01A",3.83782351074864,3.67682941988267,3.58987530838503,3.36061401617494,"PAAD"
"TCGA-FB-A78T-01A",3.88278594961329,3.70383983459971,3.6686411165241,3.46497240978449,"PAAD"
"TCGA-IB-8126-01A",3.65223369194897,3.63667225971199,3.66537289979852,3.29235242967279,"PAAD"
"TCGA-Q3-AA2A-01A",3.80452544481421,3.58669112430263,3.49369500129146,3.34375789731806,"PAAD"
"TCGA-HZ-8002-01A",3.78144867954334,3.73333108305946,3.79309376178469,3.47302259543727,"PAAD"
"TCGA-IB-A5SQ-01A",3.8080176120552,3.67886861397618,3.66336133830361,3.45172462595375,"PAAD"
"TCGA-HZ-A49I-01A",3.81016012275558,3.66495999668116,3.56142248592583,3.35418093699558,"PAAD"
"TCGA-HZ-7926-01A",3.92134237275329,3.75261904356934,3.68379387642797,3.51796252855022,"PAAD"
"TCGA-IB-AAUR-01A",3.7905024282808,3.66184156881415,3.67781789872832,3.42393100598074,"PAAD"
"TCGA-FB-A5VM-01A",3.83914739476162,3.70086139151619,3.6270920601354,3.5139303989783,"PAAD"
"TCGA-FB-AAQ3-01A",3.73209141863099,3.60561047790496,3.48974956012933,3.31903775338862,"PAAD"
"TCGA-2J-AABR-01A",3.77412842202203,3.65522838222747,3.58193711535627,3.38956797957922,"PAAD"
"TCGA-US-A77J-01A",3.72763714707922,3.65031491092029,3.60985512611241,3.41614691401735,"PAAD"
"TCGA-XN-A8T5-01A",3.75811631231113,3.63267093806081,3.59230596335201,3.31019356131821,"PAAD"
"TCGA-IB-8127-01A",3.925545472196,3.79363846056278,3.74827116882119,3.5285473762047,"PAAD"
"TCGA-3A-A9IH-01A",3.97064308056979,3.76599912563262,3.6920323578965,3.53342071213725,"PAAD"
"TCGA-XD-AAUG-01A",3.7162760841326,3.59339236241808,3.58685345005913,3.26244826425481,"PAAD"
"TCGA-IB-7891-01A",3.82646262120484,3.7282557676281,3.70675831349664,3.46717364475365,"PAAD"
"TCGA-HZ-7925-01A",3.89621886833063,3.76826989892201,3.67234376967569,3.52335756844397,"PAAD"
"TCGA-2L-AAQJ-01A",3.85730675744401,3.68801887144735,3.65244016827093,3.43454694110527,"PAAD"
"TCGA-IB-7887-01A",3.91561950535326,3.75591087189556,3.59281481530719,3.47972283392146,"PAAD"
"TCGA-FB-AAQ1-01A",3.89987311579068,3.67646599580777,3.65309697820338,3.48827837178891,"PAAD"
"TCGA-S4-A8RP-01A",3.80003893903472,3.66301599483584,3.62689975531821,3.4091663350651,"PAAD"
"TCGA-FB-AAPQ-01A",3.88401097873401,3.62286441191414,3.54441026308942,3.30072972307799,"PAAD"
"TCGA-YY-A8LH-01A",3.94270392041254,3.70597447844772,3.57701136211596,3.44682477744773,"PAAD"
"TCGA-HZ-A77O-01A",3.8746918790061,3.70163866589417,3.55661344306498,3.49939114917853,"PAAD"
"TCGA-FB-AAPZ-01A",3.8063684523098,3.61257021386415,3.58427997083543,3.38601401483367,"PAAD"
"TCGA-FB-AAQ2-01A",3.92986190010336,3.71058883745307,3.63234369331971,3.56875367622512,"PAAD"
"TCGA-LB-A8F3-01A",3.80113957238875,3.72509217560372,3.57084900145734,3.37017705964001,"PAAD"
"TCGA-IB-7645-01A",3.82418018126793,3.72352578301777,3.7873799371659,3.41592933458952,"PAAD"
"TCGA-HZ-A9TJ-01A",3.82106853309348,3.68033227882409,3.5814594024418,3.35550893250229,"PAAD"
"TCGA-HZ-A9TJ-06A",3.85858067176805,3.71578521442172,3.69331598579885,3.4757074511898,"PAAD"
"TCGA-2J-AAB6-01A",3.88085808953149,3.65178679032326,3.54457682312866,3.46103680289945,"PAAD"
"TCGA-2J-AABF-01A",3.85183924779441,3.74596018191452,3.72746033140792,3.51027270207992,"PAAD"
"TCGA-XD-AAUH-01A",3.73626302943306,3.64514525727107,3.78741208361266,3.33607107657534,"PAAD"
"TCGA-2J-AAB9-01A",3.68089868217777,3.56927209621069,3.45890488430003,3.26024445016932,"PAAD"
"TCGA-IB-AAUT-01A",3.78284462708728,3.65561262111625,3.57229623533035,3.28349418097719,"PAAD"
"TCGA-OE-A75W-01A",3.84785844687606,3.68255638675649,3.54076496555412,3.3948812349316,"PAAD"
"TCGA-2J-AAB4-01A",3.91787454122065,3.7232623901572,3.65698760602111,3.46501770034928,"PAAD"
"TCGA-IB-7652-01A",3.92394031141708,3.79941437767522,3.74520186040734,3.54003716077276,"PAAD"
"TCGA-3A-A9I9-01A",3.79906816974261,3.65601593821515,3.5735958162904,3.36849650428231,"PAAD"
"TCGA-XN-A8T3-01A",3.8160798415841,3.68057708906902,3.61423767762431,3.44628089885464,"PAAD"
"TCGA-IB-7649-01A",3.75200486092933,3.62886527175645,3.59215772096761,3.30205311089334,"PAAD"
"TCGA-2J-AAB8-01A",3.69930234511353,3.58417627486714,3.56604648469163,3.33617048066224,"PAAD"
"TCGA-3A-A9IB-01A",3.94914270837012,3.71459859744732,3.65254454579931,3.50778047448764,"PAAD"
